nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
issa doumbia,MF,2003,24,10,939,0,0,0,0,12,22,29,2024-2025,serie-a
anastasios douvikas,FW,1999,13,6,580,2,2,1,0,8,6,36,2024-2025,serie-a
artem dovbyk,FW,1997,32,27,2418,12,2,0,0,24,16,175,2024-2025,serie-a
ondrej duda,MF,1994,28,27,2395,1,3,12,1,23,117,26,2024-2025,serie-a
denzel dumfries,"DF,FW",1996,28,19,1865,7,2,4,0,55,51,173,2024-2025,serie-a
alfred duncan,MF,1993,16,12,957,0,0,2,0,11,53,12,2024-2025,serie-a
paulo dybala,"FW,MF",1993,24,16,1417,6,3,2,0,41,79,122,2024-2025,serie-a
enzo ebosse,DF,1999,2,0,90,0,0,1,0,0,5,0,2024-2025,serie-a
tyronne ebuehi,"DF,MF",1995,4,0,74,0,0,0,0,3,4,3,2024-2025,serie-a
éderson,MF,1999,37,32,2881,4,1,5,1,40,216,79,2024-2025,serie-a
kingsley ehizibue,DF,1995,33,30,2498,0,1,5,0,54,55,116,2024-2025,serie-a
jeff ekhator,"FW,MF",2006,24,6,769,1,1,1,0,4,14,51,2024-2025,serie-a
jurgen ekkelenkamp,MF,2000,34,20,1892,3,2,2,0,34,72,86,2024-2025,serie-a
emmanuel ekong,"MF,FW",2002,15,0,186,0,0,1,0,8,5,19,2024-2025,serie-a
caleb ekuban,FW,1994,18,3,555,1,3,1,0,7,8,42,2024-2025,serie-a
mikael ellertsson,"DF,MF",2002,36,29,2470,2,2,2,0,33,36,92,2024-2025,serie-a
elif elmas,"FW,MF",1999,13,12,1021,4,0,0,0,42,34,58,2024-2025,serie-a
emerson,DF,1999,17,16,1377,0,0,5,0,23,68,71,2024-2025,serie-a
yannik engelhardt,"MF,DF",2001,26,11,1164,1,1,4,0,18,54,18,2024-2025,serie-a
martin erlic,DF,1998,8,5,334,0,0,0,0,4,11,1,2024-2025,serie-a
sebastiano esposito,"FW,MF",2002,33,27,2331,8,0,1,0,31,93,106,2024-2025,serie-a
estanis,FW,2003,1,0,9,0,0,0,0,1,0,1,2024-2025,serie-a
nahuel estévez,MF,1995,14,7,657,0,0,3,0,3,30,4,2024-2025,serie-a
giovanni fabbian,MF,2003,30,9,1023,3,1,2,0,14,17,43,2024-2025,serie-a
alieu fadera,"FW,DF",2001,28,20,1644,1,3,2,1,74,36,160,2024-2025,serie-a
nicolò fagioli,MF,2001,15,10,962,1,2,0,0,15,50,19,2024-2025,serie-a
nicolò fagioli,MF,2001,17,5,571,0,0,4,0,19,41,18,2024-2025,serie-a
wladimiro falcone,GK,1995,38,38,3420,0,0,2,0,0,0,0,2024-2025,serie-a
davide faraoni,DF,1991,8,3,260,0,0,1,0,2,3,13,2024-2025,serie-a
jacopo fazzini,MF,2003,20,16,1383,4,1,1,1,34,49,88,2024-2025,serie-a
mattia felici,"MF,FW",2001,20,9,925,0,3,1,0,39,19,75,2024-2025,serie-a
joão félix,MF,1999,15,8,760,2,0,3,0,20,40,56,2024-2025,serie-a
lewis ferguson,MF,1999,16,10,983,1,1,0,0,20,53,26,2024-2025,serie-a
daniel fila,FW,2002,10,6,492,2,0,3,1,5,8,30,2024-2025,serie-a
alessandro florenzi,FW,1991,1,0,5,0,0,0,0,0,0,0,2024-2025,serie-a
youssouf fofana,MF,1999,35,29,2504,1,6,5,0,44,176,32,2024-2025,serie-a
michael folorunsho,"FW,MF",1998,14,6,650,0,0,5,0,13,21,33,2024-2025,serie-a
michael folorunsho,"FW,MF",1998,6,0,35,0,0,0,0,0,0,2,2024-2025,serie-a
omari forson,"MF,FW",2004,9,1,223,0,0,0,0,14,10,18,2024-2025,serie-a
davide frattesi,MF,1999,27,9,1158,5,1,1,0,23,31,50,2024-2025,serie-a
morten frendrup,MF,2001,35,35,3103,2,0,5,0,24,106,29,2024-2025,serie-a
martin frese,DF,1998,11,5,549,0,0,0,0,7,19,12,2024-2025,serie-a
remo freuler,MF,1992,37,37,3204,1,2,6,0,39,208,56,2024-2025,serie-a
matteo gabbia,DF,1999,26,24,2152,2,0,4,0,13,74,2,2024-2025,serie-a
tommaso gabellini,FW,2006,1,0,10,0,0,0,0,1,0,0,2024-2025,serie-a
tiago gabriel,DF,2004,2,0,96,0,0,0,0,0,1,0,2024-2025,serie-a
alessandro gabrielloni,"FW,MF",1994,15,0,142,1,1,1,0,5,6,13,2024-2025,serie-a
gianluca gaetano,"MF,FW",2000,28,8,1009,2,4,0,0,11,41,82,2024-2025,serie-a
roberto gagliardini,"MF,DF",1994,8,0,180,0,0,1,0,5,11,3,2024-2025,serie-a
antonino gallo,DF,2000,31,31,2609,0,2,3,1,57,107,110,2024-2025,serie-a
silvère ganvoula m'boussy,FW,1996,7,4,326,0,0,0,0,3,4,21,2024-2025,serie-a
federico gatti,DF,1998,30,26,2195,1,0,2,0,24,73,6,2024-2025,serie-a
david de gea,GK,1990,34,34,3060,0,1,1,0,0,0,0,2024-2025,serie-a
valentin gendrey,DF,2000,2,2,180,0,0,0,0,7,5,4,2024-2025,serie-a
daniele ghilardi,DF,2003,24,21,2029,0,0,7,1,16,57,7,2024-2025,serie-a
lautaro gianetti,DF,1993,15,11,878,1,0,4,0,0,19,3,2024-2025,serie-a
samuel gigot,DF,1993,15,7,683,2,0,2,0,7,12,5,2024-2025,serie-a
mario gila,DF,2000,32,31,2741,1,0,8,0,48,157,12,2024-2025,serie-a
billy gilmour,MF,2001,26,13,1177,0,1,0,0,11,67,18,2024-2025,serie-a
santiago giménez,FW,2001,14,7,669,5,2,3,1,13,6,38,2024-2025,serie-a
gvidas gineitis,MF,2004,30,15,1430,3,1,5,0,15,36,43,2024-2025,serie-a
ben godfrey,DF,1998,1,0,23,0,0,0,0,0,1,1,2024-2025,serie-a
saba goglichidze,DF,2004,33,29,2539,0,1,3,1,12,45,9,2024-2025,serie-a
edoardo goldaniga,DF,1993,32,28,2532,1,0,12,1,20,81,8,2024-2025,serie-a
pierluigi gollini,GK,1995,7,7,630,0,0,1,0,0,0,0,2024-2025,serie-a
nicolás gonzález,"FW,MF",1998,26,23,1750,3,2,3,0,35,69,123,2024-2025,serie-a
robin gosens,DF,1994,31,28,2434,5,5,6,0,31,102,91,2024-2025,serie-a
lucas gourna-douath,MF,2003,6,2,229,0,0,2,0,4,9,9,2024-2025,serie-a
alberto grassi,MF,1995,28,27,2203,1,0,8,0,18,74,24,2024-2025,serie-a
mattéo guendouzi,MF,1999,37,37,3270,1,3,7,0,89,316,64,2024-2025,serie-a
frederic guilbert,DF,1994,31,31,2435,0,1,3,2,48,88,45,2024-2025,serie-a
albert guðmundsson,"FW,MF",1997,24,16,1273,6,1,2,0,35,37,59,2024-2025,serie-a
emmanuel gyasi,"DF,FW",1994,37,37,3217,2,1,5,0,22,53,108,2024-2025,serie-a
christian gytkjær,FW,1990,29,6,754,2,1,0,0,3,5,52,2024-2025,serie-a
nicolas haas,MF,1996,10,2,287,0,0,1,0,2,9,2,2024-2025,serie-a
saad el haddad,MF,2005,3,0,30,0,0,0,0,1,1,6,2024-2025,serie-a
antoine hainaut,"DF,FW",2002,25,10,1206,2,0,4,0,22,34,37,2024-2025,serie-a
mohamed haj,MF,2005,15,3,453,1,2,4,0,6,13,28,2024-2025,serie-a
ridgeciano haps,DF,1993,25,14,1369,1,1,3,0,26,52,47,2024-2025,serie-a
abdou harroui,"MF,FW",1998,10,5,463,1,2,1,0,23,21,34,2024-2025,serie-a
liam henderson,MF,1996,36,27,2337,0,4,10,0,18,108,54,2024-2025,serie-a
mario hermoso,DF,1995,8,2,251,0,0,2,1,3,14,5,2024-2025,serie-a
theo hernández,DF,1997,33,30,2696,4,3,4,1,93,132,148,2024-2025,serie-a
hernani,MF,1994,25,15,1327,3,3,7,0,29,78,40,2024-2025,serie-a
isak hien,DF,1999,30,27,2327,0,0,10,0,7,51,3,2024-2025,serie-a
emil holm,DF,2000,21,12,1137,1,1,3,0,29,49,43,2024-2025,serie-a
mats hummels,DF,1988,14,11,915,0,0,1,0,4,26,1,2024-2025,serie-a
elseid hysaj,DF,1994,11,4,424,0,3,2,1,4,14,18,2024-2025,serie-a
arijon ibrahimović,MF,2005,1,0,8,0,0,0,0,0,0,0,2024-2025,serie-a
jay idzes,DF,2000,35,35,3127,1,0,5,0,15,84,15,2024-2025,serie-a
jonathan ikone,FW,1998,13,5,540,2,0,1,0,23,17,55,2024-2025,serie-a
jonathan ikone,"FW,MF",1998,14,1,334,0,0,0,0,12,13,39,2024-2025,serie-a
ivan ilić,MF,2001,19,9,920,1,0,4,0,24,45,41,2024-2025,serie-a
samuel iling-junior,"FW,MF",2003,7,0,118,1,0,0,0,5,7,27,2024-2025,serie-a
alessio iovine,"DF,FW",1991,10,3,387,0,0,2,0,9,6,8,2024-2025,serie-a
gustav isaksen,FW,2001,37,29,2210,4,2,5,0,95,46,249,2024-2025,serie-a
ardian ismajli,DF,1996,29,29,2508,0,0,3,0,3,38,1,2024-2025,serie-a
armando izzo,DF,1992,30,28,2435,1,1,12,0,12,72,12,2024-2025,serie-a
fellipe jack,DF,2006,7,1,171,0,0,2,0,2,8,1,2024-2025,serie-a
ali jasim,"FW,DF",2004,2,0,10,0,0,0,0,1,1,1,2024-2025,serie-a
gaby jean,DF,2000,19,16,1388,0,0,0,0,8,42,3,2024-2025,serie-a
juan jesus,DF,1991,15,12,1074,0,1,2,0,3,50,2,2024-2025,serie-a
alejandro jiménez,"DF,FW",2005,22,14,1266,0,1,6,0,55,37,72,2024-2025,serie-a
þórir jóhann helgason,MF,2000,21,13,1156,0,4,0,0,20,38,58,2024-2025,serie-a
jesse joronen,GK,1993,8,7,703,0,0,0,0,0,0,0,2024-2025,serie-a
luka jović,"FW,MF",1997,15,6,557,2,0,1,0,8,26,24,2024-2025,serie-a
mohamed kaba,MF,2001,15,2,452,0,0,1,0,3,18,8,2024-2025,serie-a
christian kabasele,DF,1991,16,12,1161,2,0,0,0,9,44,7,2024-2025,serie-a
pierre kalulu,DF,2000,29,25,2337,1,0,2,1,48,117,24,2024-2025,serie-a
hassane kamara,DF,1994,30,25,2001,1,4,8,1,52,61,103,2024-2025,serie-a
yann karamoh,"MF,FW",1998,29,10,1046,0,1,2,0,37,28,80,2024-2025,serie-a
jesper karlsson,FW,1998,7,3,298,1,0,1,0,6,6,31,2024-2025,serie-a
jesper karlsson,FW,1998,13,6,495,1,0,2,0,11,12,32,2024-2025,serie-a
jesper karlström,MF,1995,37,36,3186,0,3,9,0,23,135,46,2024-2025,serie-a
lior kasa,"MF,FW",2005,8,2,230,0,0,2,0,1,7,7,2024-2025,serie-a
grigoris kastanos,"MF,FW",1998,27,8,872,1,1,4,0,12,34,27,2024-2025,serie-a
michael kayode,"DF,FW",2004,5,1,127,0,0,0,0,3,8,6,2024-2025,serie-a
moise kean,FW,2000,31,30,2615,17,3,5,0,42,26,143,2024-2025,serie-a
mandela keita,MF,2002,30,24,1826,0,2,6,1,13,50,5,2024-2025,serie-a
lloyd kelly,DF,1998,12,11,1013,0,0,1,0,10,36,26,2024-2025,serie-a
