nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
anthony jung,DF,1991,31,30,2579,1,0,4,1,24,107,21,2023-2024,bundesliga
josip juranović,DF,1995,21,14,1294,0,2,4,0,22,52,46,2023-2024,bundesliga
david jurásek,DF,2000,13,4,496,0,1,1,0,12,12,38,2023-2024,bundesliga
julian justvan,"FW,MF",1998,4,0,49,0,0,0,0,8,5,12,2023-2024,bundesliga
julian justvan,"MF,FW",1998,14,11,1023,2,2,1,0,20,56,50,2023-2024,bundesliga
ozan kabak,DF,2000,28,28,2282,4,0,11,1,21,110,11,2023-2024,bundesliga
pavel kadeřábek,"DF,FW",1992,29,28,2412,3,4,7,0,38,88,153,2023-2024,bundesliga
florian kainz,"MF,FW",1992,33,29,2197,5,4,4,0,40,124,100,2023-2024,bundesliga
sasa kalajdzic,FW,1997,5,5,325,0,1,0,0,1,8,9,2023-2024,bundesliga
jakub kamiński,"FW,MF",2002,17,4,473,0,2,0,0,13,18,53,2023-2024,bundesliga
kevin kampl,MF,1990,26,14,1363,1,0,3,0,28,88,27,2023-2024,bundesliga
harry kane,FW,1993,32,32,2839,36,8,2,0,36,102,164,2023-2024,bundesliga
atakan karazor,MF,1996,33,31,2623,0,4,9,0,24,142,31,2023-2024,bundesliga
emir karic,DF,1997,27,18,1783,0,0,4,0,56,115,85,2023-2024,bundesliga
silas katompa,"FW,MF",1998,27,8,900,5,2,0,0,49,25,130,2023-2024,bundesliga
mikkel kaufmann,FW,2001,18,4,486,1,0,0,0,6,11,34,2023-2024,bundesliga
naby keïta,"MF,DF",1995,5,1,109,0,0,2,0,1,13,4,2023-2024,bundesliga
yannik keitel,"DF,MF",2000,15,11,920,1,0,0,0,4,48,7,2023-2024,bundesliga
thomas keller,"MF,FW",1999,2,0,2,0,0,0,0,0,2,0,2023-2024,bundesliga
aljoscha kemlein,MF,2004,2,0,29,0,0,0,0,0,0,1,2023-2024,bundesliga
tobias kempe,MF,1989,24,15,1350,3,2,1,0,15,44,46,2023-2024,bundesliga
rani khedira,MF,1994,20,18,1343,0,0,5,1,6,35,15,2023-2024,bundesliga
luca kilian,DF,1999,13,6,635,0,0,1,0,7,12,1,2023-2024,bundesliga
joshua kimmich,"MF,DF",1995,28,27,2176,1,6,1,1,56,229,114,2023-2024,bundesliga
christoph klarer,DF,2000,30,28,2354,2,2,9,0,9,64,11,2023-2024,bundesliga
tim kleindienst,FW,1995,33,33,2869,12,3,6,0,40,73,178,2023-2024,bundesliga
lukas klostermann,DF,1996,25,16,1436,1,0,3,0,14,90,13,2023-2024,bundesliga
ansgar knauff,"MF,DF",2002,31,24,2109,7,2,7,1,77,57,164,2023-2024,bundesliga
robin knoche,DF,1992,24,20,1917,1,0,1,0,2,71,2,2023-2024,bundesliga
gregor kobel,GK,1997,27,27,2365,0,0,1,0,0,0,0,2023-2024,bundesliga
robin koch,DF,1996,31,31,2738,2,0,10,0,14,116,3,2023-2024,bundesliga
dominik kohr,"DF,MF",1994,31,27,2184,1,0,15,1,19,99,26,2023-2024,bundesliga
randal kolo muani,FW,1998,2,2,153,1,0,0,0,6,3,9,2023-2024,bundesliga
mert kömür,"MF,DF",2005,4,1,118,1,0,0,0,7,4,9,2023-2024,bundesliga
manu koné,MF,2001,22,18,1561,1,0,4,1,42,70,56,2023-2024,bundesliga
odilon kossounou,DF,2001,22,21,1811,1,0,3,0,48,141,23,2023-2024,bundesliga
tomáš koubek,GK,1992,3,3,270,0,0,0,0,0,0,0,2023-2024,bundesliga
matej kovar,GK,2000,1,1,90,0,0,0,0,0,0,0,2023-2024,bundesliga
dawid kownacki,FW,1997,22,3,380,0,0,0,0,5,10,26,2023-2024,bundesliga
alex král,MF,1998,24,13,1370,0,0,2,0,15,44,41,2023-2024,bundesliga
