nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
marco d'alessandro,"DF,FW",Monza,8,3,290,0,0,2,0,14,3,19,2022-2023,serie-a
danilo d'ambrosio,DF,Inter,15,8,733,0,2,3,1,8,34,17,2022-2023,serie-a
luca d'andrea,FW,Sassuolo,5,5,316,0,1,0,0,11,9,29,2022-2023,serie-a
flavius daniliuc,DF,Salernitana,27,23,2195,0,2,9,0,14,70,5,2022-2023,serie-a
danilo,DF,Juventus,37,35,3184,3,3,5,0,39,176,43,2022-2023,serie-a
matteo darmian,DF,Inter,31,24,2025,1,2,3,0,22,88,96,2022-2023,serie-a
juan david cabal,DF,Hellas Verona,11,3,444,0,0,3,0,4,17,8,2022-2023,serie-a
paweł dawidowicz,DF,Hellas Verona,23,20,1632,1,1,6,1,20,60,17,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
charles de ketelaere,"MF,FW",Milan,32,9,1116,0,1,2,0,45,59,69,2022-2023,serie-a
manuel de luca,"FW,MF",Sampdoria,2,0,44,0,0,0,0,0,0,4,2022-2023,serie-a
tommaso de nipoti,MF,Atalanta,1,0,4,0,0,0,0,1,1,0,2022-2023,serie-a
mattia de sciglio,DF,Juventus,17,11,1042,0,0,0,0,16,50,40,2022-2023,serie-a
lorenzo de silvestri,DF,Bologna,15,6,672,1,0,1,0,18,31,17,2022-2023,serie-a
koni de winter,DF,Empoli,14,12,1024,0,0,3,0,2,22,0,2022-2023,serie-a
grégoire defrel,FW,Sassuolo,27,13,1167,2,1,3,0,11,10,75,2022-2023,serie-a
duccio degl'innocenti,MF,Empoli,1,0,3,0,0,0,0,0,0,0,2022-2023,serie-a
merih demiral,DF,Atalanta,28,14,1536,1,0,5,0,3,26,4,2022-2023,serie-a
diego demme,MF,Napoli,7,2,146,0,0,0,0,3,16,1,2022-2023,serie-a
fabio depaoli,DF,Hellas Verona,31,24,2173,2,2,7,0,28,66,76,2022-2023,serie-a
fabio depaoli,"DF,MF",Sampdoria,3,1,136,0,0,1,0,2,10,6,2022-2023,serie-a
kastriot dermaku,DF,Lecce,1,0,34,0,0,0,0,0,0,0,2022-2023,serie-a
cyriel dessers,FW,Cremonese,26,19,1587,6,1,3,0,21,27,110,2022-2023,serie-a
sergiño dest,DF,Milan,8,2,329,0,0,0,0,11,14,12,2022-2023,serie-a
mattia destro,"FW,MF",Empoli,17,6,572,1,0,3,0,4,4,20,2022-2023,serie-a
gerard deulofeu,FW,Udinese,16,15,1211,2,6,1,0,72,82,118,2022-2023,serie-a
samuel di carmine,"FW,MF",Cremonese,2,0,28,0,0,0,0,1,1,2,2022-2023,serie-a
federico di francesco,"FW,MF",Lecce,36,23,2031,2,2,5,0,50,60,177,2022-2023,serie-a
michele di gregorio,GK,Monza,37,37,3330,0,1,0,0,0,0,0,2022-2023,serie-a
giovanni di lorenzo,DF,Napoli,37,36,3257,3,4,2,0,73,256,182,2022-2023,serie-a
ángel di maría,"FW,MF",Juventus,26,15,1363,4,4,1,1,56,96,95,2022-2023,serie-a
boulaye dia,"FW,MF",Salernitana,33,27,2518,16,6,4,0,48,50,140,2022-2023,serie-a
brahim díaz,"MF,FW",Milan,33,27,1925,6,7,3,0,80,121,116,2022-2023,serie-a
federico dimarco,DF,Inter,33,26,2069,4,3,0,0,45,88,189,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
koffi djidji,DF,Torino,34,26,2424,1,0,3,0,11,83,13,2022-2023,serie-a
berat djimsiti,DF,Atalanta,24,20,1797,0,1,3,0,7,45,9,2022-2023,serie-a
dodô,DF,Fiorentina,33,28,2331,1,3,5,1,72,141,104,2022-2023,serie-a
josh doig,DF,Hellas Verona,22,15,1354,2,3,1,0,41,27,61,2022-2023,serie-a
nicolás domínguez,MF,Bologna,31,26,2300,3,2,10,0,39,147,84,2022-2023,serie-a
giulio donati,DF,Monza,8,4,422,1,0,4,2,4,21,8,2022-2023,serie-a
bartłomiej drągowski,GK,Spezia,34,34,2946,0,1,1,0,0,0,0,2022-2023,serie-a
ondrej duda,MF,Hellas Verona,15,11,1061,0,0,4,0,15,44,22,2022-2023,serie-a
denzel dumfries,DF,Inter,34,25,2218,1,4,4,0,62,59,172,2022-2023,serie-a
alfred duncan,MF,Fiorentina,25,13,1103,1,0,3,0,18,70,30,2022-2023,serie-a
paulo dybala,"MF,FW",Roma,25,21,1739,12,6,5,0,56,75,109,2022-2023,serie-a
edin džeko,FW,Inter,33,18,1732,9,3,3,0,32,67,150,2022-2023,serie-a
festy ebosele,DF,Udinese,17,4,411,0,1,4,0,27,17,22,2022-2023,serie-a
enzo ebosse,DF,Udinese,20,9,930,0,0,3,0,11,51,20,2022-2023,serie-a
tyronne ebuehi,DF,Empoli,26,22,1923,2,4,0,0,31,41,42,2022-2023,serie-a
éderson,MF,Atalanta,35,25,2215,1,1,4,0,37,93,62,2022-2023,serie-a
kingsley ehizibue,DF,Udinese,27,16,1535,2,0,7,0,29,40,69,2022-2023,serie-a
albin ekdal,MF,Spezia,31,18,1734,0,2,6,1,15,80,35,2022-2023,serie-a
emmanuel ekong,"FW,MF",Empoli,2,0,20,0,0,0,0,1,0,1,2022-2023,serie-a
mikael ellertsson,"MF,DF",Spezia,11,1,171,0,0,3,0,3,3,4,2022-2023,serie-a
elif elmas,"FW,MF",Napoli,36,14,1627,6,3,5,0,42,73,103,2022-2023,serie-a
martin erlic,DF,Sassuolo,28,26,2330,0,0,2,0,7,65,1,2022-2023,serie-a
gonzalo escalante,MF,Cremonese,9,7,555,0,1,0,1,3,30,8,2022-2023,serie-a
salvatore esposito,MF,Spezia,15,10,971,1,0,5,1,4,51,11,2022-2023,serie-a
nicolò fagioli,MF,Juventus,26,17,1520,3,3,3,0,27,56,56,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
wladimiro falcone,GK,Lecce,38,38,3420,0,0,2,0,0,0,0,2022-2023,serie-a
davide faraoni,DF,Hellas Verona,23,19,1485,2,3,7,0,11,54,33,2022-2023,serie-a
federico fazio,DF,Salernitana,14,12,1074,1,0,2,1,13,40,4,2022-2023,serie-a
jacopo fazzini,MF,Empoli,21,8,825,0,0,4,0,11,21,40,2022-2023,serie-a
lewis ferguson,"MF,FW",Bologna,32,27,2314,7,0,4,0,31,88,114,2022-2023,serie-a
alex ferrari,DF,Sampdoria,12,10,868,0,0,3,0,7,25,3,2022-2023,serie-a
alex ferrari,DF,Cremonese,16,13,1007,0,0,3,0,2,27,5,2022-2023,serie-a
salvador ferrer,DF,Spezia,5,0,136,0,0,0,0,0,1,2,2022-2023,serie-a
vincenzo fiorillo,GK,Salernitana,1,1,90,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro florenzi,DF,Milan,6,2,203,0,0,1,0,1,10,19,2022-2023,serie-a
davide frattesi,MF,Sassuolo,36,35,2873,7,0,4,0,73,137,94,2022-2023,serie-a
matteo gabbia,DF,Milan,12,6,613,0,0,2,0,1,15,1,2022-2023,serie-a
manolo gabbiadini,"FW,MF",Sampdoria,35,27,2354,7,2,6,0,32,55,111,2022-2023,serie-a
gianluca gaetano,MF,Napoli,8,0,76,1,1,0,0,4,4,9,2022-2023,serie-a
roberto gagliardini,MF,Inter,19,7,783,0,0,5,1,20,39,22,2022-2023,serie-a
adolfo gaich,FW,Hellas Verona,16,8,726,2,0,2,0,6,11,33,2022-2023,serie-a
pablo galdames millán,MF,Cremonese,13,10,734,1,2,2,0,5,33,17,2022-2023,serie-a
antonino gallo,DF,Lecce,32,28,2486,0,1,5,1,71,154,65,2022-2023,serie-a
federico gatti,DF,Juventus,18,16,1448,0,0,4,0,18,56,13,2022-2023,serie-a
valentin gendrey,DF,Lecce,37,35,3101,0,2,4,0,47,112,107,2022-2023,serie-a
paolo ghiglione,DF,Cremonese,15,8,711,1,1,4,0,5,19,35,2022-2023,serie-a
mario gila,DF,Lazio,4,0,90,0,0,0,0,1,6,2,2022-2023,serie-a
gvidas gineitis,MF,Torino,3,2,136,0,0,2,0,3,6,7,2022-2023,serie-a
olivier giroud,FW,Milan,33,25,2139,13,5,8,1,12,36,152,2022-2023,serie-a
pierluigi gollini,GK,Fiorentina,3,3,270,0,0,0,0,0,0,0,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
