nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
álvaro fernández,GK,Sevilla,9,8,747,0,0,2,0,0,0,0,2024-2025,laliga
pelayo fernandez,DF,Rayo Vallecano,2,1,98,0,0,1,0,0,1,0,2024-2025,laliga
roberto férnandez,FW,Espanyol,19,18,1497,6,0,1,0,7,17,50,2024-2025,laliga
valery fernández,"MF,FW",Mallorca,18,1,309,2,0,1,0,2,5,14,2024-2025,laliga
andré ferreira,GK,Valladolid,6,6,540,0,0,0,0,0,0,0,2024-2025,laliga
mateo flores,MF,Betis,6,1,153,0,0,1,0,0,9,2,2024-2025,laliga
pablo fornals,"MF,FW",Betis,26,22,1827,2,0,2,0,32,146,85,2024-2025,laliga
héctor fort,DF,Barcelona,17,5,585,0,0,2,0,14,26,33,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
dimitri foulquier,DF,Valencia,32,25,2299,0,1,6,0,48,97,66,2024-2025,laliga
juan foyth,DF,Villarreal,19,17,1517,1,0,4,0,13,65,11,2024-2025,laliga
fran,GK,Real Madrid,1,1,90,0,0,0,0,0,0,0,2024-2025,laliga
alejandro francés,DF,Girona,18,13,1173,0,0,2,0,18,63,21,2024-2025,laliga
enric franquesa,"DF,FW",Leganés,12,7,616,1,0,1,0,11,12,30,2024-2025,laliga
jorge de frutos,"FW,MF",Rayo Vallecano,36,30,2495,6,3,3,1,77,44,201,2024-2025,laliga
darío fuentes,DF,Sevilla,1,0,5,0,0,1,0,0,0,0,2024-2025,laliga
manuel fuster,"FW,MF",Las Palmas,28,8,1003,2,1,2,0,23,71,75,2024-2025,laliga
javi galán,DF,Atlético Madrid,25,21,1784,0,3,8,0,52,54,107,2024-2025,laliga
iñigo ruiz de galarreta,MF,Athletic Club,26,18,1477,0,4,5,0,27,137,39,2024-2025,laliga
conor gallagher,MF,Atlético Madrid,32,19,1633,3,3,2,0,24,64,64,2024-2025,laliga
facundo garcés,DF,Alavés,10,7,678,0,0,2,0,3,12,3,2024-2025,laliga
álvaro garcía,"FW,MF",Rayo Vallecano,36,28,2559,4,5,4,0,68,71,245,2024-2025,laliga
