nombre,club_actual,altura,valor,temporada,liga
juan miranda,Bologna FC 1909,1.85,7000000.0,2022-2023,LaLiga
youssouf sabaly,Al-Duhail SC,1.73,5000000.0,2022-2023,LaLiga
aitor ruibal,Real Betis Balompié,1.76,5000000.0,2022-2023,LaLiga
martín montoya,Without Club,1.75,1200000.0,2022-2023,LaLiga
fran delgado,SC Farense,1.81,350000.0,2022-2023,LaLiga
guido rodríguez,West Ham United,1.85,28000000.0,2022-2023,LaLiga
william carvalho,Without Club,1.87,14000000.0,2022-2023,LaLiga
paul akouokou,Olympique Lyon,1.81,3500000.0,2022-2023,LaLiga
andrés guardado,nan,1.67,1500000.0,2022-2023,LaLiga
víctor camarasa,Without Club,1.83,800000.0,2022-2023,LaLiga
quique fernández,RC Deportivo Fabril,1.77,150000.0,2022-2023,LaLiga
nabil fekir,Al-Jazira Club,1.73,20000000.0,2022-2023,LaLiga
sergio canales,CF Monterrey,1.78,15000000.0,2022-2023,LaLiga
dani pérez,Betis Deportivo Balompié,1.73,300000.0,2022-2023,LaLiga
juanmi,Getafe CF,1.72,12000000.0,2022-2023,LaLiga
juan cruz,CD Leganés,1.8,1500000.0,2022-2023,LaLiga
josé alonso lara,Without Club,1.62,350000.0,2022-2023,LaLiga
luiz henrique,Zenit St. Petersburg,1.82,15000000.0,2022-2023,LaLiga
rodri sánchez,Al-Arabi SC,1.75,8000000.0,2022-2023,LaLiga
rober gonzález,NEC Nijmegen,1.69,2000000.0,2022-2023,LaLiga
joaquín,nan,1.81,1500000.0,2022-2023,LaLiga
borja iglesias,Real Betis Balompié,1.87,20000000.0,2022-2023,LaLiga
willian josé,Esporte Clube Bahia,1.86,6000000.0,2022-2023,LaLiga
ayoze pérez,Villarreal CF,1.78,6000000.0,2022-2023,LaLiga
loren morón,Aris Thessaloniki,1.85,2000000.0,2022-2023,LaLiga
sergio herrera,CA Osasuna,1.92,8000000.0,2022-2023,LaLiga
aitor fernández,CA Osasuna,1.82,3000000.0,2022-2023,LaLiga
juan pérez,SD Huesca,1.91,600000.0,2022-2023,LaLiga
darío ramos,CD Arenteiro,1.91,200000.0,2022-2023,LaLiga
pablo valencia,Without Club,1.88,200000.0,2022-2023,LaLiga
yoel ramírez,CD Tudelano,1.84,50000.0,2022-2023,LaLiga
david garcía,Al-Rayyan SC,1.86,20000000.0,2022-2023,LaLiga
unai garcía,Panetolikos GFS,1.86,2500000.0,2022-2023,LaLiga
aridane hernández,Without Club,1.88,1000000.0,2022-2023,LaLiga
jorge herrando,CA Osasuna,1.92,400000.0,2022-2023,LaLiga
manu sánchez,Celta de Vigo,1.71,10000000.0,2022-2023,LaLiga
juan cruz,CA Osasuna,1.82,2500000.0,2022-2023,LaLiga
nacho vidal,Real Oviedo,1.8,5000000.0,2022-2023,LaLiga
rubén peña,CD Leganés,1.7,2500000.0,2022-2023,LaLiga
diego moreno,SD Ponferradina,1.77,800000.0,2022-2023,LaLiga
lucas torró,CA Osasuna,1.9,8000000.0,2022-2023,LaLiga
iker muñoz,CA Osasuna,1.8,500000.0,2022-2023,LaLiga
jon moncayola,CA Osasuna,1.82,12000000.0,2022-2023,LaLiga
darko brasanac,Without Club,1.78,2000000.0,2022-2023,LaLiga
pablo ibáñez,Deportivo Alavés,1.79,1500000.0,2022-2023,LaLiga
aimar oroz,CA Osasuna,1.77,15000000.0,2022-2023,LaLiga
roberto torres,Without Club,1.78,1200000.0,2022-2023,LaLiga
javi martínez,SD Eibar,1.81,1000000.0,2022-2023,LaLiga
abde ezzalzouli,Real Betis Balompié,1.77,15000000.0,2022-2023,LaLiga
moi gómez,CA Osasuna,1.76,10000000.0,2022-2023,LaLiga
rubén garcía,CA Osasuna,1.72,6000000.0,2022-2023,LaLiga
kike barja,CA Osasuna,1.79,4000000.0,2022-2023,LaLiga
iker benito,CA Osasuna,1.76,300000.0,2022-2023,LaLiga
chimy ávila,Real Betis Balompié,1.72,9000000.0,2022-2023,LaLiga
ante budimir,CA Osasuna,1.9,6000000.0,2022-2023,LaLiga
kike garcía,RCD Espanyol Barcelona,1.86,1800000.0,2022-2023,LaLiga
paulo gazzaniga,Girona FC,1.95,3000000.0,2022-2023,LaLiga
juan carlos,Girona FC,1.87,300000.0,2022-2023,LaLiga
toni fuidias,Girona FC,1.95,300000.0,2022-2023,LaLiga
lluc matas,Without Club,,,2022-2023,LaLiga
santiago bueno,Wolverhampton Wanderers,1.9,8000000.0,2022-2023,LaLiga
david lópez,Girona FC,1.85,2000000.0,2022-2023,LaLiga
alexander callens,AEK Athens,1.86,1800000.0,2022-2023,LaLiga
bernardo espinosa,nan,1.92,1500000.0,2022-2023,LaLiga
juanpe,Atlético de San Luis,1.9,1500000.0,2022-2023,LaLiga
eric monjonell,UD Ibiza,1.87,300000.0,2022-2023,LaLiga
biel farrés,Girona FC B,1.8,,2022-2023,LaLiga
miguel gutiérrez,Girona FC,1.8,10000000.0,2022-2023,LaLiga
javi hernández,CD Leganés,1.8,2500000.0,2022-2023,LaLiga
arnau martínez,Girona FC,1.82,15000000.0,2022-2023,LaLiga
