nombre,club_actual,altura,valor,temporada,liga
karl darlow,Leeds United,1.9,1000000.0,League,Premier
mark gillespie,Newcastle United,1.91,300000.0,League,Premier
sven botman,Newcastle United,1.93,45000000.0,League,Premier
fabian schär,Newcastle United,1.86,10000000.0,League,Premier
dan burn,Newcastle United,2.01,10000000.0,League,Premier
jamaal lascelles,Newcastle United,1.88,4500000.0,League,Premier
federico fernández,nan,1.89,700000.0,League,Premier
ciaran clark,Without Club,1.85,600000.0,League,Premier
kell watts,Cambridge United,1.92,300000.0,League,Premier
matt targett,Newcastle United,1.83,13000000.0,League,Premier
jamal lewis,Without Club,1.78,6000000.0,League,Premier
paul dummett,Without Club,1.83,1000000.0,League,Premier
kieran trippier,Newcastle United,1.73,11000000.0,League,Premier
emil krafth,Newcastle United,1.84,3000000.0,League,Premier
javier manquillo,Without Club,1.78,2500000.0,League,Premier
harrison ashby,Newcastle United,1.79,1000000.0,League,Premier
bruno guimarães,Newcastle United,1.82,70000000.0,League,Premier
isaac hayden,Newcastle United,1.87,3500000.0,League,Premier
joelinton,Newcastle United,1.86,42000000.0,League,Premier
joe willock,Newcastle United,1.86,38000000.0,League,Premier
sean longstaff,Leeds United,1.87,25000000.0,League,Premier
elliot anderson,Nottingham Forest,1.79,8000000.0,League,Premier
jonjo shelvey,Without Club,1.84,5000000.0,League,Premier
jeff hendrick,Without Club,1.85,1500000.0,League,Premier
matty longstaff,Toronto FC,1.71,1000000.0,League,Premier
lewis miley,Newcastle United,1.89,,League,Premier
matt ritchie,Portsmouth FC,1.73,1000000.0,League,Premier
anthony gordon,Newcastle United,1.83,35000000.0,League,Premier
allan saint-maximin,Al-Ahli SFC,1.73,32000000.0,League,Premier
ryan fraser,Southampton FC,1.63,6000000.0,League,Premier
miguel almirón,Atlanta United FC,1.74,32000000.0,League,Premier
jacob murphy,Newcastle United,1.79,15000000.0,League,Premier
alexander isak,Newcastle United,1.92,70000000.0,League,Premier
callum wilson,Without Club,1.8,16000000.0,League,Premier
chris wood,Nottingham Forest,1.91,8000000.0,League,Premier
robert sánchez,Chelsea FC,1.97,22000000.0,League,Premier
jason steele,Brighton & Hove Albion,1.88,4000000.0,League,Premier
tom mcgill,Brighton & Hove Albion,1.85,600000.0,League,Premier
levi colwill,Chelsea FC,1.87,30000000.0,League,Premier
adam webster,Brighton & Hove Albion,1.9,25000000.0,League,Premier
lewis dunk,Brighton & Hove Albion,1.92,16000000.0,League,Premier
