nombre,club_actual,altura,valor,temporada,liga
djed spence,Tottenham Hotspur,1.84,20000000.0,2024-2025,Premier-League
sergio reguilón,Without Club,1.78,6000000.0,2024-2025,Premier-League
pedro porro,Tottenham Hotspur,1.73,38000000.0,2024-2025,Premier-League
archie gray,Tottenham Hotspur,1.87,38000000.0,2024-2025,Premier-League
rodrigo bentancur,Tottenham Hotspur,1.87,30000000.0,2024-2025,Premier-League
yves bissouma,Tottenham Hotspur,1.82,25000000.0,2024-2025,Premier-League
lucas bergvall,Tottenham Hotspur,1.87,38000000.0,2024-2025,Premier-League
pape matar sarr,Tottenham Hotspur,1.84,32000000.0,2024-2025,Premier-League
callum olusesi,Tottenham Hotspur U21,,500000.0,2024-2025,Premier-League
rio kyerematen,Tottenham Hotspur U21,,,2024-2025,Premier-League
dejan kulusevski,Tottenham Hotspur,1.86,50000000.0,2024-2025,Premier-League
james maddison,Tottenham Hotspur,1.75,42000000.0,2024-2025,Premier-League
alfie devine,Tottenham Hotspur,1.82,3500000.0,2024-2025,Premier-League
lucá williams-barnett,Tottenham Hotspur U18,1.75,,2024-2025,Premier-League
heung-min son,Tottenham Hotspur,1.84,20000000.0,2024-2025,Premier-League
mikey moore,Tottenham Hotspur,1.8,18000000.0,2024-2025,Premier-League
timo werner,RB Leipzig,1.8,7000000.0,2024-2025,Premier-League
brennan johnson,Tottenham Hotspur,1.86,40000000.0,2024-2025,Premier-League
wilson odobert,Tottenham Hotspur,1.82,20000000.0,2024-2025,Premier-League
min-hyeok yang,Tottenham Hotspur,1.76,3500000.0,2024-2025,Premier-League
damola ajayi,Doncaster Rovers,1.76,,2024-2025,Premier-League
dominic solanke,Tottenham Hotspur,1.86,40000000.0,2024-2025,Premier-League
mathys tel,Tottenham Hotspur,1.83,35000000.0,2024-2025,Premier-League
richarlison,Tottenham Hotspur,1.84,20000000.0,2024-2025,Premier-League
will lankshear,Tottenham Hotspur U21,1.89,3000000.0,2024-2025,Premier-League
dane scarlett,Tottenham Hotspur,1.8,2000000.0,2024-2025,Premier-League
emiliano martínez,Aston Villa,1.95,20000000.0,2024-2025,Premier-League
joe gauci,Aston Villa,1.94,1500000.0,2024-2025,Premier-League
robin olsen,Malmö FF,1.96,1000000.0,2024-2025,Premier-League
oliwier zych,Raków Częstochowa,1.93,800000.0,2024-2025,Premier-League
sam proctor,Aston Villa U21,,,2024-2025,Premier-League
ezri konsa,Aston Villa,1.83,35000000.0,2024-2025,Premier-League
pau torres,Aston Villa,1.92,32000000.0,2024-2025,Premier-League
axel disasi,Chelsea FC,1.91,22000000.0,2024-2025,Premier-League
