nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
giacomo corona,0,0,0,,0,0,0,0,0,2023-2024,serie-a
joão costa,0,0,0,,0,0,0,0,0,2023-2024,serie-a
benoît costil,1,1,0,66.7,2,1,0,0,0,2023-2024,serie-a
lassana coulibaly,20,21,6,44.9,47,32,23,5,18,2023-2024,serie-a
mamadou coulibaly,0,0,0,,0,0,0,0,0,2023-2024,serie-a
alessio cragno,0,0,0,,0,0,0,0,0,2023-2024,serie-a
bryan cristante,33,28,11,56.0,72,41,36,6,30,2023-2024,serie-a
juan cruz,0,0,2,,2,2,1,0,1,2023-2024,serie-a
juan cuadrado,2,2,0,60.0,4,3,6,1,5,2023-2024,serie-a
marvin cuni,1,3,4,75.0,8,3,10,1,9,2023-2024,serie-a
danilo d'ambrosio,34,20,3,68.3,57,34,22,13,9,2023-2024,serie-a
flavius daniliuc,12,5,2,47.4,19,11,13,4,9,2023-2024,serie-a
danilo,38,18,4,66.7,60,36,34,15,19,2023-2024,serie-a
matteo darmian,23,15,10,37.7,48,22,27,11,16,2023-2024,serie-a
juan david cabal,19,14,3,62.1,36,27,30,9,21,2023-2024,serie-a
keinan davis,0,0,0,,0,0,0,0,0,2023-2024,serie-a
paweł dawidowicz,33,18,2,58.6,53,30,17,9,8,2023-2024,serie-a
charles de ketelaere,3,12,18,50.0,33,21,30,2,28,2023-2024,serie-a
mattia de sciglio,0,0,0,,0,0,1,0,1,2023-2024,serie-a
lorenzo de silvestri,5,2,3,57.1,10,8,9,4,5,2023-2024,serie-a
koni de winter,26,13,5,67.7,44,25,30,10,20,2023-2024,serie-a
grégoire defrel,7,5,5,46.7,17,8,10,0,10,2023-2024,serie-a
alessandro deiola,13,16,4,38.3,33,19,16,6,10,2023-2024,serie-a
alessandro dellavalle,0,0,0,,0,0,1,1,0,2023-2024,serie-a
diego demme,0,1,0,0.0,1,1,0,0,0,2023-2024,serie-a
leander dendoncker,0,0,0,,0,0,1,1,0,2023-2024,serie-a
mattia destro,0,2,0,100.0,2,1,4,0,4,2023-2024,serie-a
federico di francesco,0,1,0,,1,0,0,0,0,2023-2024,serie-a
raffaele di gennaro,0,0,0,,0,0,0,0,0,2023-2024,serie-a
michele di gregorio,1,0,0,25.0,1,0,1,0,1,2023-2024,serie-a
giovanni di lorenzo,26,26,6,47.1,58,36,43,16,27,2023-2024,serie-a
alessandro di pardo,3,0,1,0.0,4,1,9,2,7,2023-2024,serie-a
boulaye dia,2,2,0,33.3,4,2,5,0,5,2023-2024,serie-a
federico dimarco,19,14,9,48.6,42,25,18,3,15,2023-2024,serie-a
tiago djaló,0,0,0,,0,0,1,0,1,2023-2024,serie-a
koffi djidji,9,5,0,75.0,14,9,10,5,5,2023-2024,serie-a
berat djimsiti,29,12,1,61.3,42,24,53,33,20,2023-2024,serie-a
dodô,1,4,0,40.0,5,3,2,0,2,2023-2024,serie-a
josh doig,9,7,0,76.5,16,9,12,3,9,2023-2024,serie-a
josh doig,16,9,0,55.6,25,17,31,10,21,2023-2024,serie-a
nicolás domínguez,1,0,0,0.0,1,0,3,0,3,2023-2024,serie-a
giulio donati,0,0,0,,0,0,0,0,0,2023-2024,serie-a
patrick dorgu,22,17,4,64.7,43,22,16,5,11,2023-2024,serie-a
alberto dossena,43,12,0,66.7,55,35,50,27,23,2023-2024,serie-a
radu drăgușin,9,6,1,88.9,16,11,18,12,6,2023-2024,serie-a
ondrej duda,17,35,7,59.6,59,39,29,12,17,2023-2024,serie-a
denzel dumfries,9,11,2,39.1,22,13,15,6,9,2023-2024,serie-a
alfred duncan,13,15,7,42.9,35,22,27,5,22,2023-2024,serie-a
paulo dybala,3,10,9,11.1,22,13,12,0,12,2023-2024,serie-a
festy ebosele,23,9,1,60.0,33,20,33,2,31,2023-2024,serie-a
enzo ebosse,1,0,0,0.0,1,1,0,0,0,2023-2024,serie-a
tyronne ebuehi,9,5,0,63.6,14,9,9,4,5,2023-2024,serie-a
éderson,38,38,7,69.8,83,49,48,8,40,2023-2024,serie-a
kingsley ehizibue,16,4,2,61.1,22,14,21,3,18,2023-2024,serie-a
emmanuel ekong,0,0,0,,0,0,0,0,0,2023-2024,serie-a
caleb ekuban,2,4,2,55.6,8,4,11,3,8,2023-2024,serie-a
elif elmas,1,3,0,100.0,4,3,2,0,2,2023-2024,serie-a
martin erlic,26,8,3,66.7,37,22,31,16,15,2023-2024,serie-a
giovanni fabbian,9,7,1,58.3,17,10,5,2,3,2023-2024,serie-a
nicolò fagioli,1,3,1,42.9,5,3,3,0,3,2023-2024,serie-a
wladimiro falcone,0,0,0,,0,0,1,0,1,2023-2024,serie-a
davide faraoni,5,6,2,70.0,13,10,9,5,4,2023-2024,serie-a
davide faraoni,5,2,2,45.5,9,4,3,1,2,2023-2024,serie-a
federico fazio,14,4,0,57.1,18,11,22,19,3,2023-2024,serie-a
jacopo fazzini,27,13,9,56.6,49,25,21,3,18,2023-2024,serie-a
lewis ferguson,16,17,4,43.2,37,21,25,8,17,2023-2024,serie-a
andrea ferraris,1,0,0,,1,1,0,0,0,2023-2024,serie-a
joão ferreira,36,18,4,58.6,58,42,27,6,21,2023-2024,serie-a
seydou fini,0,0,0,,0,0,0,0,0,2023-2024,serie-a
vincenzo fiorillo,0,0,0,,0,0,0,0,0,2023-2024,serie-a
alessandro florenzi,26,12,5,54.2,43,21,16,9,7,2023-2024,serie-a
michael folorunsho,21,22,7,40.4,50,28,45,12,33,2023-2024,serie-a
davide frattesi,3,7,0,50.0,10,6,9,3,6,2023-2024,serie-a
morten frendrup,47,70,16,60.4,133,72,55,14,41,2023-2024,serie-a
remo freuler,41,32,5,55.1,78,50,37,9,28,2023-2024,serie-a
gerardo fusco,0,0,0,,0,0,0,0,0,2023-2024,serie-a
matteo gabbia,15,13,1,75.0,29,20,11,6,5,2023-2024,serie-a
gianluca gaetano,0,4,3,28.6,7,4,4,0,4,2023-2024,serie-a
gianluca gaetano,0,4,0,50.0,4,1,5,2,3,2023-2024,serie-a
roberto gagliardini,27,25,9,62.0,61,30,30,11,19,2023-2024,serie-a
pablo galdames millán,0,0,0,,0,0,1,0,1,2023-2024,serie-a
antonino gallo,31,11,1,63.3,43,27,34,9,25,2023-2024,serie-a
luca garritano,7,2,1,33.3,10,5,13,0,13,2023-2024,serie-a
federico gatti,16,16,1,79.2,33,19,26,15,11,2023-2024,serie-a
francesco gelli,8,4,7,41.7,19,13,19,3,16,2023-2024,serie-a
luca gemello,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
valentin gendrey,35,16,4,65.2,55,33,40,11,29,2023-2024,serie-a
farés ghedjemis,1,0,1,0.0,2,0,2,0,2,2023-2024,serie-a
lautaro gianetti,7,2,0,80.0,9,4,10,6,4,2023-2024,serie-a
mario gila,23,8,1,55.9,32,14,27,14,13,2023-2024,serie-a
gvidas gineitis,3,8,0,57.1,11,7,10,4,6,2023-2024,serie-a
olivier giroud,6,6,5,14.3,17,11,14,3,11,2023-2024,serie-a
edoardo goldaniga,9,3,0,40.0,12,7,11,7,4,2023-2024,serie-a
pierluigi gollini,1,0,0,100.0,1,1,0,0,0,2023-2024,serie-a
papu gómez,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
iron gomis,2,2,0,0.0,4,1,2,0,2,2023-2024,serie-a
joan gonzàlez,16,12,3,60.7,31,18,20,3,17,2023-2024,serie-a
nicolás gonzález,15,8,5,28.6,28,18,26,1,25,2023-2024,serie-a
alberto grassi,13,13,4,38.5,30,18,26,11,15,2023-2024,serie-a
mattéo guendouzi,11,18,5,42.9,34,15,24,6,18,2023-2024,serie-a
axel guessand,0,1,0,100.0,1,1,1,0,1,2023-2024,serie-a
albert guðmundsson,8,10,5,27.3,23,10,15,2,13,2023-2024,serie-a
emmanuel gyasi,18,13,3,46.9,34,17,30,12,18,2023-2024,serie-a
norbert gyömbér,30,6,0,76.9,36,18,33,23,10,2023-2024,serie-a
nicolas haas,1,2,2,100.0,5,3,1,0,1,2023-2024,serie-a
ridgeciano haps,3,2,2,62.5,7,6,3,0,3,2023-2024,serie-a
abdou harroui,11,11,1,50.0,23,11,19,3,16,2023-2024,serie-a
hans hateboer,8,2,2,33.3,12,5,21,7,14,2023-2024,serie-a
pantelis hatzidiakos,12,10,0,58.8,22,10,14,5,9,2023-2024,serie-a
silvan hefti,2,3,1,57.1,6,1,2,0,2,2023-2024,serie-a
liam henderson,0,0,0,,0,0,0,0,0,2023-2024,serie-a
matheus henrique,21,18,4,41.9,43,29,18,8,10,2023-2024,serie-a
thomas henry,0,0,0,,0,0,0,0,0,2023-2024,serie-a
theo hernández,19,11,0,50.0,30,17,33,13,20,2023-2024,serie-a
isak hien,10,7,0,52.6,17,10,12,5,7,2023-2024,serie-a
isak hien,8,10,0,46.7,18,12,12,5,7,2023-2024,serie-a
emil holm,17,9,2,44.4,28,19,25,3,22,2023-2024,serie-a
