nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
delano burgzorg,1,1,1,66.7,3,3,2,0,2,2022-2023,bundesliga
jonathan burkardt,0,1,2,25.0,3,1,6,1,5,2022-2023,bundesliga
oliver burke,0,0,1,,1,0,2,0,2,2022-2023,bundesliga
aurélio buta,15,13,5,55.6,33,19,18,1,17,2022-2023,bundesliga
anthony caci,32,20,6,66.7,58,33,28,4,24,2022-2023,bundesliga
kerim calhanoglu,2,0,0,100.0,2,1,1,0,1,2022-2023,bundesliga
daniel caligiuri,5,3,0,80.0,8,5,3,2,1,2022-2023,bundesliga
emre can,25,27,5,51.2,57,28,16,6,10,2022-2023,bundesliga
joão cancelo,9,10,4,43.5,23,14,14,2,12,2022-2023,bundesliga
irvin cardona,1,0,0,20.0,1,1,3,0,3,2022-2023,bundesliga
koen casteels,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
julian chabot,19,14,3,57.1,36,23,30,18,12,2022-2023,bundesliga
timothy chandler,2,0,0,100.0,2,2,1,0,1,2022-2023,bundesliga
fabio chiarodia,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
oliver christensen,1,0,0,0.0,1,0,0,0,0,2022-2023,bundesliga
darko churlinov,2,1,0,66.7,3,2,1,0,1,2022-2023,bundesliga
tolga ciğerci,6,9,1,62.5,16,13,6,2,4,2022-2023,bundesliga
david čolina,1,1,2,100.0,4,1,8,0,8,2022-2023,bundesliga
kingsley coman,3,5,3,41.2,11,8,19,1,18,2022-2023,bundesliga
danny da costa,7,8,5,60.0,20,16,22,3,19,2022-2023,bundesliga
soumaïla coulibaly,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
tanguy coulibaly,9,1,2,41.7,12,9,10,0,10,2022-2023,bundesliga
nicolas cozza,1,2,0,66.7,3,3,3,1,2,2022-2023,bundesliga
moanes dabbur,4,5,2,33.3,11,8,8,0,8,2022-2023,bundesliga
finn dahmen,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
mahmoud dahoud,3,4,4,100.0,11,9,6,2,4,2022-2023,bundesliga
muhammed damar,1,2,3,50.0,6,3,3,0,3,2022-2023,bundesliga
márton dárdai,9,8,0,50.0,17,8,14,9,5,2022-2023,bundesliga
vladimír darida,0,1,0,,1,1,1,0,1,2022-2023,bundesliga
alphonso davies,25,13,7,46.2,45,28,28,4,24,2022-2023,bundesliga
thomas delaney,3,2,1,37.5,6,3,5,0,5,2022-2023,bundesliga
kerem demirbay,16,17,3,52.9,36,18,26,6,20,2022-2023,bundesliga
ermedin demirović,9,12,10,40.9,31,14,31,4,27,2022-2023,bundesliga
sepp van den berg,2,2,1,25.0,5,4,8,5,3,2022-2023,bundesliga
moussa diaby,4,8,2,50.0,14,8,8,0,8,2022-2023,bundesliga
abdou diallo,5,1,0,33.3,6,5,8,5,3,2022-2023,bundesliga
justin diehl,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
florian dietz,0,2,0,25.0,2,1,4,1,3,2022-2023,bundesliga
junior dina ebimbe,16,14,0,48.5,30,19,18,5,13,2022-2023,bundesliga
eren dinkçi,2,1,2,33.3,5,5,2,0,2,2022-2023,bundesliga
ritsu doan,19,29,13,45.5,61,29,40,1,39,2022-2023,bundesliga
danilho doekhi,21,17,0,53.8,38,23,27,12,15,2022-2023,bundesliga
kasper dolberg,1,4,2,66.7,7,5,6,2,4,2022-2023,bundesliga
niklas dorsch,8,11,2,56.3,21,12,9,3,6,2022-2023,bundesliga
dion drena beljo,3,2,2,15.4,7,6,15,2,13,2022-2023,bundesliga
dominick drexler,12,10,3,40.9,25,17,18,2,16,2022-2023,bundesliga
marvin ducksch,2,4,2,18.8,8,3,13,2,11,2022-2023,bundesliga
ondrej duda,2,5,2,36.4,9,8,7,1,6,2022-2023,bundesliga
julien duranville,0,1,0,100.0,1,1,0,0,0,2022-2023,bundesliga
maximilian eggestein,21,24,6,48.6,51,29,37,8,29,2022-2023,bundesliga
lilian egloff,4,5,3,66.7,12,10,2,0,2,2022-2023,bundesliga
kingsley ehizibue,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
julian eitschberger,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
chidera ejuke,1,4,0,20.0,5,4,4,0,4,2022-2023,bundesliga
nico elvedi,32,12,2,65.9,46,24,31,16,15,2022-2023,bundesliga
wataru endo,30,31,9,44.7,70,37,44,6,38,2022-2023,bundesliga
arne engels,9,10,1,42.1,20,9,17,5,12,2022-2023,bundesliga
