nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
stefan savić,29,7,3,66.7,39,26,17,8,9,2022-2023,laliga
haris seferović,1,4,1,37.5,6,3,7,1,6,2022-2023,laliga
jaime seoane,3,4,3,25.0,10,4,7,3,4,2022-2023,laliga
david silva,11,18,7,57.9,36,21,17,2,15,2022-2023,laliga
rui silva,4,0,0,100.0,4,1,0,0,0,2022-2023,laliga
simo,3,0,0,66.7,3,1,5,4,1,2022-2023,laliga
unai simón,2,0,0,100.0,2,0,1,0,1,2022-2023,laliga
rubén sobrino,29,17,9,41.1,55,37,33,3,30,2022-2023,laliga
alex sola,14,3,1,70.0,18,9,7,2,5,2022-2023,laliga
augusto solari,6,3,1,27.3,10,6,5,0,5,2022-2023,laliga
carlos soler,0,1,1,66.7,2,0,1,0,1,2022-2023,laliga
david soria,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
hugo sotelo,0,0,0,,0,0,0,0,0,2022-2023,laliga
dyego sousa,5,4,1,80.0,10,6,4,2,2,2022-2023,laliga
vinicius souza,41,45,13,55.9,99,66,31,14,17,2022-2023,laliga
jørgen strand larsen,3,5,7,23.3,15,7,14,5,9,2022-2023,laliga
cristhian stuani,2,7,4,35.7,13,6,10,0,10,2022-2023,laliga
damián suárez,23,19,7,54.2,49,33,40,0,40,2022-2023,laliga
denis suárez,12,12,2,28.9,26,20,11,1,10,2022-2023,laliga
mario suárez,0,0,0,,0,0,1,0,1,2022-2023,laliga
suso,5,7,4,45.5,16,10,7,1,6,2022-2023,laliga
williot swedberg,1,0,2,,3,1,2,0,2,2022-2023,laliga
alexander sørloth,3,6,9,50.0,18,9,15,1,14,2022-2023,laliga
renato tapia,21,21,5,48.6,47,25,29,11,18,2022-2023,laliga
aurélien tchouaméni,23,36,5,60.5,64,40,20,6,14,2022-2023,laliga
alex telles,15,6,0,52.0,21,13,17,5,12,2022-2023,laliga
marc-andré ter stegen,0,0,0,,0,0,0,0,0,2022-2023,laliga
ramón terrats,3,8,4,52.9,15,10,11,4,7,2022-2023,laliga
ramón terrats,1,3,0,33.3,4,2,6,2,4,2022-2023,laliga
raúl de tomás,0,1,2,33.3,3,2,4,0,4,2022-2023,laliga
pablo torre,0,1,1,50.0,2,1,1,0,1,2022-2023,laliga
