nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
delano burgzorg,1,1,1,66.7,3,3,2,0,2,2022-2023,bundesliga
jonathan burkardt,0,1,2,25.0,3,1,6,1,5,2022-2023,bundesliga
oliver burke,0,0,1,,1,0,2,0,2,2022-2023,bundesliga
aurélio buta,15,13,5,55.6,33,19,18,1,17,2022-2023,bundesliga
anthony caci,32,20,6,66.7,58,33,28,4,24,2022-2023,bundesliga
kerim calhanoglu,2,0,0,100.0,2,1,1,0,1,2022-2023,bundesliga
daniel caligiuri,5,3,0,80.0,8,5,3,2,1,2022-2023,bundesliga
emre can,25,27,5,51.2,57,28,16,6,10,2022-2023,bundesliga
joão cancelo,9,10,4,43.5,23,14,14,2,12,2022-2023,bundesliga
irvin cardona,1,0,0,20.0,1,1,3,0,3,2022-2023,bundesliga
koen casteels,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
julian chabot,19,14,3,57.1,36,23,30,18,12,2022-2023,bundesliga
timothy chandler,2,0,0,100.0,2,2,1,0,1,2022-2023,bundesliga
fabio chiarodia,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
oliver christensen,1,0,0,0.0,1,0,0,0,0,2022-2023,bundesliga
darko churlinov,2,1,0,66.7,3,2,1,0,1,2022-2023,bundesliga
tolga ciğerci,6,9,1,62.5,16,13,6,2,4,2022-2023,bundesliga
david čolina,1,1,2,100.0,4,1,8,0,8,2022-2023,bundesliga
kingsley coman,3,5,3,41.2,11,8,19,1,18,2022-2023,bundesliga
danny da costa,7,8,5,60.0,20,16,22,3,19,2022-2023,bundesliga
soumaïla coulibaly,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
tanguy coulibaly,9,1,2,41.7,12,9,10,0,10,2022-2023,bundesliga
nicolas cozza,1,2,0,66.7,3,3,3,1,2,2022-2023,bundesliga
moanes dabbur,4,5,2,33.3,11,8,8,0,8,2022-2023,bundesliga
finn dahmen,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
mahmoud dahoud,3,4,4,100.0,11,9,6,2,4,2022-2023,bundesliga
muhammed damar,1,2,3,50.0,6,3,3,0,3,2022-2023,bundesliga
márton dárdai,9,8,0,50.0,17,8,14,9,5,2022-2023,bundesliga
vladimír darida,0,1,0,,1,1,1,0,1,2022-2023,bundesliga
alphonso davies,25,13,7,46.2,45,28,28,4,24,2022-2023,bundesliga
thomas delaney,3,2,1,37.5,6,3,5,0,5,2022-2023,bundesliga
kerem demirbay,16,17,3,52.9,36,18,26,6,20,2022-2023,bundesliga
ermedin demirović,9,12,10,40.9,31,14,31,4,27,2022-2023,bundesliga
sepp van den berg,2,2,1,25.0,5,4,8,5,3,2022-2023,bundesliga
moussa diaby,4,8,2,50.0,14,8,8,0,8,2022-2023,bundesliga
abdou diallo,5,1,0,33.3,6,5,8,5,3,2022-2023,bundesliga
justin diehl,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
florian dietz,0,2,0,25.0,2,1,4,1,3,2022-2023,bundesliga
junior dina ebimbe,16,14,0,48.5,30,19,18,5,13,2022-2023,bundesliga
eren dinkçi,2,1,2,33.3,5,5,2,0,2,2022-2023,bundesliga
ritsu doan,19,29,13,45.5,61,29,40,1,39,2022-2023,bundesliga
danilho doekhi,21,17,0,53.8,38,23,27,12,15,2022-2023,bundesliga
kasper dolberg,1,4,2,66.7,7,5,6,2,4,2022-2023,bundesliga
niklas dorsch,8,11,2,56.3,21,12,9,3,6,2022-2023,bundesliga
dion drena beljo,3,2,2,15.4,7,6,15,2,13,2022-2023,bundesliga
dominick drexler,12,10,3,40.9,25,17,18,2,16,2022-2023,bundesliga
marvin ducksch,2,4,2,18.8,8,3,13,2,11,2022-2023,bundesliga
ondrej duda,2,5,2,36.4,9,8,7,1,6,2022-2023,bundesliga
julien duranville,0,1,0,100.0,1,1,0,0,0,2022-2023,bundesliga
maximilian eggestein,21,24,6,48.6,51,29,37,8,29,2022-2023,bundesliga
lilian egloff,4,5,3,66.7,12,10,2,0,2,2022-2023,bundesliga
kingsley ehizibue,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
julian eitschberger,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
chidera ejuke,1,4,0,20.0,5,4,4,0,4,2022-2023,bundesliga
nico elvedi,32,12,2,65.9,46,24,31,16,15,2022-2023,bundesliga
wataru endo,30,31,9,44.7,70,37,44,6,38,2022-2023,bundesliga
arne engels,9,10,1,42.1,20,9,17,5,12,2022-2023,bundesliga
tjark ernst,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kimberly ezekwem,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
ralf fährmann,1,0,0,100.0,1,0,0,0,0,2022-2023,bundesliga
ohis felix uduokhai,14,13,3,51.7,30,20,27,14,13,2022-2023,bundesliga
edimilson fernandes,26,5,4,52.9,35,25,37,16,21,2022-2023,bundesliga
kilian fischer,3,4,2,54.5,9,6,6,0,6,2022-2023,bundesliga
mark flekken,0,0,0,0.0,0,0,1,0,1,2022-2023,bundesliga
florian flick,7,5,0,28.6,12,3,9,3,6,2022-2023,bundesliga
emil forsberg,1,8,7,30.0,16,11,25,2,23,2022-2023,bundesliga
philipp förster,11,15,5,30.0,31,19,22,0,22,2022-2023,bundesliga
timothy fosu-mensah,3,3,1,100.0,7,5,2,0,2,2022-2023,bundesliga
raphael framberger,6,4,0,60.0,10,6,2,1,1,2022-2023,bundesliga
bartol franjić,2,2,0,0.0,4,2,4,1,3,2022-2023,bundesliga
oscar fraulo,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
michael frey,2,8,3,30.8,13,5,6,0,6,2022-2023,bundesliga
marco friedl,40,22,0,60.3,62,46,46,17,29,2022-2023,bundesliga
marvin friedrich,13,3,1,76.9,17,11,14,6,8,2022-2023,bundesliga
jeremie frimpong,22,26,5,52.3,53,27,24,3,21,2022-2023,bundesliga
chris führich,15,14,7,54.5,36,14,29,2,27,2022-2023,bundesliga
angelo fulgini,2,3,1,41.7,6,5,5,0,5,2022-2023,bundesliga
niclas füllkrug,0,6,3,23.1,9,4,13,4,9,2022-2023,bundesliga
cristian gamboa,27,14,1,67.7,42,24,20,7,13,2022-2023,bundesliga
silvère ganvoula m'boussy,0,1,1,,2,2,0,0,0,2022-2023,bundesliga
dario gebuhr,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
dennis geiger,15,28,2,62.9,45,25,27,3,24,2022-2023,bundesliga
yannick gerhardt,10,11,8,40.0,29,15,26,5,21,2022-2023,bundesliga
niko gießelmann,9,9,3,41.9,21,11,17,5,12,2022-2023,bundesliga
rafał gikiewicz,2,0,0,66.7,2,2,0,0,0,2022-2023,bundesliga
matthias ginter,29,12,2,65.0,43,20,40,24,16,2022-2023,bundesliga
jamie gittens,2,5,1,28.6,8,4,1,0,1,2022-2023,bundesliga
serge gnabry,11,14,10,39.5,35,23,24,1,23,2022-2023,bundesliga
jacek góralski,3,3,0,66.7,6,3,4,0,4,2022-2023,bundesliga
leon goretzka,21,16,6,56.3,43,24,40,3,37,2022-2023,bundesliga
mario götze,13,22,7,29.8,42,25,25,0,25,2022-2023,bundesliga
jeffrey gouweleeuw,19,17,6,49.0,42,27,41,23,18,2022-2023,bundesliga
ryan gravenberch,4,10,3,53.8,17,8,9,1,8,2022-2023,bundesliga
michael gregoritsch,6,9,4,14.3,19,12,23,4,19,2022-2023,bundesliga
leo greiml,4,5,1,41.7,10,5,7,3,4,2022-2023,bundesliga
vincenzo grifo,6,15,8,41.9,29,16,18,1,17,2022-2023,bundesliga
lennart grill,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
christian groß,20,34,2,48.3,56,25,20,5,15,2022-2023,bundesliga
brajan gruda,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
ilia gruev,16,25,3,58.1,44,27,23,6,17,2022-2023,bundesliga
carlos gruezo,12,9,0,56.3,21,12,13,4,9,2022-2023,bundesliga
raphaël guerreiro,13,15,8,61.8,36,20,21,2,19,2022-2023,bundesliga
josuha guilavogui,7,10,1,35.3,18,11,19,13,6,2022-2023,bundesliga
serhou guirassy,2,2,0,50.0,4,1,7,2,5,2022-2023,bundesliga
péter gulácsi,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
manuel gulde,10,4,0,50.0,14,8,5,1,4,2022-2023,bundesliga
robert gumny,13,15,6,40.7,34,24,21,7,14,2022-2023,bundesliga
christian günter,18,9,2,30.2,29,21,22,4,18,2022-2023,bundesliga
joško gvardiol,15,8,0,40.9,23,17,34,17,17,2022-2023,bundesliga
janik haberer,8,18,3,35.4,29,17,35,2,33,2022-2023,bundesliga
alexander hack,21,9,0,57.6,30,18,18,5,13,2022-2023,bundesliga
andré hahn,4,4,1,66.7,9,5,9,2,7,2022-2023,bundesliga
amadou haidara,15,10,0,38.2,25,11,26,6,20,2022-2023,bundesliga
sébastien haller,2,1,2,0.0,5,4,8,0,8,2022-2023,bundesliga
marcel halstenberg,20,15,5,56.1,40,21,22,1,21,2022-2023,bundesliga
andreas hanche-olsen,24,7,4,56.4,35,23,16,8,8,2022-2023,bundesliga
genki haraguchi,7,7,2,25.0,16,7,13,2,11,2022-2023,bundesliga
genki haraguchi,1,10,1,33.3,12,8,7,1,6,2022-2023,bundesliga
makoto hasebe,16,2,0,31.8,18,12,22,9,13,2022-2023,bundesliga
thorgan hazard,5,11,1,70.6,17,6,6,0,6,2022-2023,bundesliga
jonas hector,59,43,10,58.4,112,66,61,9,52,2022-2023,bundesliga
dominique heintz,5,7,1,35.3,13,9,11,7,4,2022-2023,bundesliga
benjamin henrichs,41,29,3,65.2,73,46,48,4,44,2022-2023,bundesliga
lucas hernández,3,3,0,83.3,6,4,2,1,1,2022-2023,bundesliga
patrick herrmann,4,1,1,50.0,6,2,2,0,2,2022-2023,bundesliga
piero hincapié,28,20,3,65.8,51,34,41,20,21,2022-2023,bundesliga
adam hložek,4,3,2,33.3,9,4,9,2,7,2022-2023,bundesliga
nicolas höfler,28,35,3,44.3,66,35,40,13,27,2022-2023,bundesliga
jonas hofmann,17,8,6,28.8,31,16,36,2,34,2022-2023,bundesliga
philipp hofmann,0,13,5,41.7,18,11,20,8,12,2022-2023,bundesliga
lucas höler,5,7,7,27.3,19,14,22,5,17,2022-2023,bundesliga
gerrit holtmann,6,7,1,57.1,14,7,15,1,14,2022-2023,bundesliga
jannes horn,1,1,0,100.0,2,1,1,0,1,2022-2023,bundesliga
lukáš hrádecký,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
timo hübers,35,8,0,46.2,43,28,27,13,14,2022-2023,bundesliga
callum hudson-odoi,4,0,1,100.0,5,3,0,0,0,2022-2023,bundesliga
mats hummels,38,22,2,58.2,62,34,30,16,14,2022-2023,bundesliga
denis huseinbasic,8,11,4,40.0,23,9,16,2,14,2022-2023,bundesliga
iago,20,10,4,37.9,34,16,18,5,13,2022-2023,bundesliga
arijon ibrahimović,1,0,0,,1,1,0,0,0,2022-2023,bundesliga
marcus ingvartsen,0,2,2,10.0,4,1,9,1,8,2022-2023,bundesliga
ko itakura,18,7,4,53.3,29,17,41,25,16,2022-2023,bundesliga
hiroki ito,24,14,2,51.4,40,29,38,17,21,2022-2023,bundesliga
andreas ivan,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
lee jae-sung,9,21,8,44.4,38,17,29,5,24,2022-2023,bundesliga
paul jaeckel,11,11,2,48.6,24,18,11,5,6,2022-2023,bundesliga
kristijan jakić,19,12,2,53.7,33,21,32,10,22,2022-2023,bundesliga
saidy janko,13,8,2,60.0,23,15,24,10,14,2022-2023,bundesliga
tony jantschke,1,1,0,100.0,2,1,5,3,2,2022-2023,bundesliga
fredrik jensen,8,3,4,50.0,15,10,12,5,7,2022-2023,bundesliga
moritz jenz,8,5,1,62.5,14,11,16,10,6,2022-2023,bundesliga
stevan jovetić,2,1,0,9.1,3,2,2,1,1,2022-2023,bundesliga
anthony jung,19,20,7,53.4,46,27,30,6,24,2022-2023,bundesliga
josip juranović,5,2,2,38.9,9,7,9,3,6,2022-2023,bundesliga
ozan kabak,27,21,3,56.7,51,34,35,23,12,2022-2023,bundesliga
pavel kadeřábek,10,9,7,65.2,26,20,12,2,10,2022-2023,bundesliga
florian kainz,7,12,2,30.8,21,10,27,6,21,2022-2023,bundesliga
sasa kalajdzic,0,1,2,33.3,3,2,1,0,1,2022-2023,bundesliga
daichi kamada,10,37,4,54.4,51,31,31,2,29,2022-2023,bundesliga
jakub kamiński,15,13,8,50.0,36,25,37,2,35,2022-2023,bundesliga
marcin kamiński,4,0,2,50.0,6,4,8,7,1,2022-2023,bundesliga
kevin kampl,6,14,1,22.2,21,11,26,9,17,2022-2023,bundesliga
wilfried kanga,2,1,2,50.0,5,4,14,3,11,2022-2023,bundesliga
kenan karaman,3,5,3,25.0,11,8,9,1,8,2022-2023,bundesliga
atakan karazor,18,25,6,51.1,49,30,39,11,28,2022-2023,bundesliga
thomas kastanaras,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
silas katompa,5,14,6,30.0,25,17,17,2,15,2022-2023,bundesliga
yannik keitel,4,6,1,60.0,11,7,6,3,3,2022-2023,bundesliga
marc-oliver kempf,29,14,1,72.7,44,27,42,32,10,2022-2023,bundesliga
jonjoe kenny,27,16,3,57.1,46,34,38,9,29,2022-2023,bundesliga
rani khedira,21,32,7,50.0,60,33,33,10,23,2022-2023,bundesliga
