nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
nicolò fagioli,Juventus,12,15,2,29.6,29,19,8,16,2,14,7,1,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
wladimiro falcone,Lecce,2,0,0,100.0,2,0,2,0,0,0,21,3,2022-2023,serie-a
davide faraoni,Hellas Verona,19,13,2,39.0,34,24,15,30,11,19,37,0,2022-2023,serie-a
federico fazio,Salernitana,8,7,0,36.4,15,12,28,9,4,5,61,0,2022-2023,serie-a
jacopo fazzini,Empoli,20,8,3,52.9,31,17,7,15,3,12,19,0,2022-2023,serie-a
lewis ferguson,Bologna,16,20,8,50.0,44,25,19,22,7,15,25,0,2022-2023,serie-a
alex ferrari,Sampdoria,7,2,0,50.0,9,5,19,21,10,11,25,0,2022-2023,serie-a
alex ferrari,Cremonese,32,7,1,66.7,40,23,25,19,4,15,45,1,2022-2023,serie-a
salvador ferrer,Spezia,2,2,0,33.3,4,2,1,3,1,2,4,0,2022-2023,serie-a
vincenzo fiorillo,Salernitana,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro florenzi,Milan,3,2,1,57.1,6,4,4,1,0,1,2,0,2022-2023,serie-a
davide frattesi,Sassuolo,24,29,10,56.8,63,36,16,27,6,21,42,0,2022-2023,serie-a
matteo gabbia,Milan,12,5,0,75.0,17,10,5,8,3,5,29,0,2022-2023,serie-a
manolo gabbiadini,Sampdoria,8,9,6,39.1,23,15,6,16,2,14,25,0,2022-2023,serie-a
gianluca gaetano,Napoli,1,3,1,,5,3,1,1,0,1,0,0,2022-2023,serie-a
roberto gagliardini,Inter,9,6,1,47.6,16,6,4,14,5,9,15,0,2022-2023,serie-a
adolfo gaich,Hellas Verona,0,3,2,16.7,5,3,3,7,2,5,7,1,2022-2023,serie-a
pablo galdames millán,Cremonese,8,3,3,15.2,14,10,10,13,2,11,13,0,2022-2023,serie-a
antonino gallo,Lecce,35,12,9,66.7,56,36,13,37,6,31,71,0,2022-2023,serie-a
federico gatti,Juventus,9,4,2,60.0,15,11,21,20,14,6,54,2,2022-2023,serie-a
valentin gendrey,Lecce,54,25,9,56.3,88,57,37,45,4,41,89,0,2022-2023,serie-a
paolo ghiglione,Cremonese,10,3,3,43.5,16,11,4,9,4,5,12,0,2022-2023,serie-a
mario gila,Lazio,3,0,0,0.0,3,1,3,0,0,0,3,0,2022-2023,serie-a
gvidas gineitis,Torino,0,2,1,50.0,3,1,0,0,0,0,1,0,2022-2023,serie-a
olivier giroud,Milan,2,4,2,20.0,8,5,3,11,3,8,23,0,2022-2023,serie-a
pierluigi gollini,Fiorentina,1,0,0,100.0,1,0,0,0,0,0,2,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
pierluigi gollini,Napoli,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,serie-a
joan gonzàlez,Lecce,20,18,10,33.3,48,28,16,37,8,29,28,0,2022-2023,serie-a
nicolás gonzález,Fiorentina,3,10,4,31.3,17,10,4,14,0,14,6,0,2022-2023,serie-a
robin gosens,Inter,15,10,9,60.0,34,18,23,16,2,14,15,0,2022-2023,serie-a
alberto grassi,Empoli,13,13,0,62.5,26,21,27,23,12,11,45,0,2022-2023,serie-a
andrew gravillon,Torino,0,3,0,,3,3,9,4,2,2,16,0,2022-2023,serie-a
axel guessand,Udinese,2,0,0,50.0,2,1,2,1,0,1,3,0,2022-2023,serie-a
koray günter,Hellas Verona,1,8,1,57.1,10,6,30,24,15,9,46,0,2022-2023,serie-a
koray günter,Sampdoria,6,4,0,66.7,10,8,11,10,5,5,46,0,2022-2023,serie-a
emmanuel gyasi,Spezia,11,10,3,25.0,24,15,8,24,6,18,26,0,2022-2023,serie-a
norbert gyömbér,Salernitana,25,6,1,66.7,32,23,35,33,22,11,92,0,2022-2023,serie-a
christian gytkjær,Monza,1,4,1,40.0,6,2,0,6,1,5,2,0,2022-2023,serie-a
