"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Serie A","Italy",2023,"US Lecce","45","Rareș Burnete","Centre-Forward",2004-01-31,20,"Romania","US Lecce","1.85","right","2023-07-01","Lecce Primavera",NA,7e+05,"https://www.transfermarkt.com/rares-burnete/profil/spieler/731525","2023-2024","Serie A"
"Serie A","Italy",2023,"US Lecce","-","Joel Voelkerling Persson","Centre-Forward",2003-01-15,21,"Sweden","Östers IF","1.94","right","2022-07-13","Roma U19",NA,4e+05,"https://www.transfermarkt.com/joel-voelkerling-persson/profil/spieler/647534","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","25","Elia Caprile","Goalkeeper",2001-08-25,22,"Italy","Cagliari Calcio","1.91","right","2023-07-24","SSC Napoli",NA,6e+06,"https://www.transfermarkt.com/elia-caprile/profil/spieler/421873","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","1","Samuele Perisan","Goalkeeper",1997-08-21,26,"Italy","FC Empoli","1.92","left","2022-07-01","Pordenone Calcio",NA,6e+05,"https://www.transfermarkt.com/samuele-perisan/profil/spieler/301240","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","99","Etrit Berisha","Goalkeeper",1989-03-10,35,"Albania","BK Häcken","1.94","left","2023-08-29","Torino FC",NA,5e+05,"https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","40","Lovro Stubljar","Goalkeeper",2004-08-09,19,"Slovenia","FC Empoli",NA,"left","2022-07-01","NK Domzale U19",NA,3e+05,"https://www.transfermarkt.com/lovro-stubljar/profil/spieler/728516","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","-","Jacopo Seghetti","Goalkeeper",2005-02-17,19,"Italy","FC Empoli","1.89","right","2024-07-01","Empoli Primavera",NA,150000,"https://www.transfermarkt.com/jacopo-seghetti/profil/spieler/935777","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","-","Filippo Vertua","Goalkeeper",2006-11-05,17,"Italy","AS Ostiamare Lido Calcio",NA," ",NA,NA,NA,NA,"https://www.transfermarkt.com/filippo-vertua/profil/spieler/1059771","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","33","Sebastiano Luperto","Centre-Back",1996-09-06,27,"Italy","Cagliari Calcio","1.91","left","2023-07-01","SSC Napoli",NA,3500000,"https://www.transfermarkt.com/sebastiano-luperto/profil/spieler/278531","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","34","Ardian Ismajli","Centre-Back",1996-09-30,27,"Albania","Torino FC","1.87","right","2021-08-09","Spezia Calcio",NA,3e+06,"https://www.transfermarkt.com/ardian-ismajli/profil/spieler/435228","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","4","Sebastian Walukiewicz","Centre-Back",2000-04-05,24,"Poland","Torino FC","1.88","right","2023-07-01","Cagliari Calcio",NA,2500000,"https://www.transfermarkt.com/sebastian-walukiewicz/profil/spieler/345458","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","14","Gabriele Guarino","Centre-Back",2004-04-14,20,"Italy","FC Empoli","1.93","right","2022-07-01","Empoli Primavera",NA,1e+06,"https://www.transfermarkt.com/gabriele-guarino/profil/spieler/745427","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","2","Saba Goglichidze","Centre-Back",2004-06-25,20,"Georgia","FC Empoli","1.92","right","2024-01-06","Torpedo Kutaisi",NA,3e+05,"https://www.transfermarkt.com/saba-goglichidze/profil/spieler/906160","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","-","Lorenzo Tonelli","Centre-Back",1990-01-17,34,"Italy",NA,"1.83","right","2021-08-27","UC Sampdoria",NA,2e+05,"https://www.transfermarkt.com/lorenzo-tonelli/profil/spieler/111347","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","-","Gabriele Indragoli","Centre-Back",2004-02-20,20,"Italy","FC Empoli","1.83","right",NA,NA,NA,2e+05,"https://www.transfermarkt.com/gabriele-indragoli/profil/spieler/814438","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","-","Luca Marianucci","Centre-Back",2004-07-23,19,"Italy","SSC Napoli","1.86","right",NA,NA,NA,175000,"https://www.transfermarkt.com/luca-marianucci/profil/spieler/814446","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","3","Giuseppe Pezzella","Left-Back",1997-11-29,26,"Italy","FC Empoli","1.87","left","2023-07-31","Parma Calcio 1913",NA,2200000,"https://www.transfermarkt.com/giuseppe-pezzella/profil/spieler/336960","2023-2024","Serie A"
"Serie B","Italy",2023,"FC Empoli","13","Liberato Cacace","Left-Back",2000-09-27,23,"New Zealand","Wrexham AFC","1.83","left","2022-07-01","Sint-Truidense VV",NA,2e+06,"https://www.transfermarkt.com/liberato-cacace/profil/spieler/469211","2023-2024","Serie A"
