index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
629,606,Alessio Zerbin,it ITA,"FW,DF",Napoli,24,1999,7,1,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.9,6,3,18,0.00,0.00,0.00,0.00,0.00,0.15,0.37,0.52,0.15,0.52,Matches
630,607,Kevin Zeroli,it ITA,MF,Milan,18,2005,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
631,608,Piotr Zieliński,pl POL,MF,Napoli,29,1994,28,23,1924,21.4,3,2,5,2,1,1,1,0,2.6,1.8,3.4,5.2,38,131,88,0.14,0.09,0.23,0.09,0.19,0.12,0.16,0.28,0.08,0.24,Matches
632,609,David Zima,cz CZE,DF,Torino,22,2000,5,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
633,610,Joshua Zirkzee,nl NED,FW,Bologna,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,9.0,7.4,5.2,12.6,53,86,182,0.36,0.13,0.49,0.29,0.42,0.29,0.17,0.46,0.24,0.41,Matches
634,611,Nadir Zortea,it ITA,DF,Frosinone,24,1999,14,14,1258,14.0,1,5,6,1,0,0,3,0,0.4,0.4,2.8,3.3,31,42,71,0.07,0.36,0.43,0.07,0.43,0.03,0.20,0.23,0.03,0.23,Matches
635,612,Nadir Zortea,it ITA,DF,Atalanta,24,1999,5,0,149,1.7,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,7,10,22,0.60,0.00,0.60,0.60,0.60,0.05,0.16,0.21,0.05,0.21,Matches
636,613,Szymon Żurkowski,pl POL,MF,Empoli,25,1997,13,10,868,9.6,4,0,4,4,0,0,4,0,1.0,1.0,0.1,1.1,17,20,37,0.41,0.00,0.41,0.41,0.41,0.10,0.01,0.11,0.10,0.11,Matches
637,614,Milan Đurić,ba BIH,FW,Hellas Verona,33,1990,20,13,1204,13.4,5,1,6,4,1,3,2,0,4.5,2.2,1.2,3.4,3,15,33,0.37,0.07,0.45,0.30,0.37,0.34,0.09,0.43,0.16,0.25,Matches
638,615,Milan Đurić,ba BIH,FW,Monza,33,1990,17,13,1257,14.0,4,1,5,4,0,0,2,0,3.0,3.0,0.7,3.7,2,8,31,0.29,0.07,0.36,0.29,0.36,0.21,0.05,0.26,0.21,0.26,Matches
639,616,Mateusz Łęgowski,pl POL,MF,Salernitana,20,2003,29,10,1145,12.7,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.5,16,37,17,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
