nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
jaden philogene-bidace,2.795140001922846,0.3331893943250179,2.795140001922846,6,3.0547380689531565,1.6042765881866217,2024-2025,premier-league
fabio carvalho,2.3463018126785755,0.6756551787257195,2.3463018126785755,4,4.785842690616846,1.763885661959648,2024-2025,premier-league
ethan pinnock,0.9376051723957062,1.5102842152118685,0.9376051723957062,8,8.141121708787978,7.110404069535434,2024-2025,premier-league
nathan collins,2.6544005731120706,1.9733586199581623,2.6544005731120706,9,10.904047696851194,10.050747162662446,2024-2025,premier-league
mathys tel,2.799501243978739,2.507141198962927,2.0383324064314365,14,5.105695888400078,1.6562889069318771,2024-2025,premier-league
cameron archer,6.92764007486403,0.4734852155670523,6.166471207514405,6,7.4672291576862335,1.9211225835606456,2024-2025,premier-league
tyler dibling,3.091769566759467,1.979686425998807,3.091769566759467,20,8.59219616651535,4.698215810582042,2024-2025,premier-league
ryan christie,1.625680811703205,3.819417158141732,1.625680811703205,42,9.731656536459925,6.203945886343718,2024-2025,premier-league
lisandro martínez,1.686713680624962,1.357606129720807,1.686713680624962,9,9.6391548961401,8.233198188245296,2024-2025,premier-league
levi colwill,2.4856121446937323,1.066227382980287,2.4856121446937323,12,15.162668526172638,13.843638241291046,2024-2025,premier-league
ryan yates,2.863330416381359,1.0837957467883823,2.863330416381359,19,6.05943701043725,4.180756267160177,2024-2025,premier-league
julio enciso,2.7400452066212893,2.227620951831341,2.7400452066212893,18,6.231109814718366,2.7869491232559085,2024-2025,premier-league
carlos alcaraz,1.660201769322157,2.288683351129293,1.660201769322157,14,3.914981357753277,0.6430606916546822,2024-2025,premier-league
yasin ayari,2.234291661530733,3.114554302766919,2.234291661530733,28,10.207828298211098,7.504959750920534,2024-2025,premier-league
nico o&#039;reilly,1.0966674238443377,0.2605451494455337,1.0966674238443377,4,2.752536509186029,1.6519679110497236,2024-2025,premier-league
milos kerkez,0.7433816641569138,4.914374724030495,0.7433816641569138,35,13.390899841673672,9.968997127376497,2024-2025,premier-league
simon adingra,3.1380675714463,2.066323732957244,3.1380675714463,16,5.763067487627268,2.168390834704041,2024-2025,premier-league
jake o&#039;brien,1.219971727579832,0.6676564291119576,1.219971727579832,6,4.743709594011307,3.924726217985153,2024-2025,premier-league
murillo,1.9497453132644296,1.3909434340894222,1.9497453132644296,12,5.36951514147222,4.55442807264626,2024-2025,premier-league
rodrigo gomes,0.6804056065157056,0.979415087029338,0.6804056065157056,12,1.9415704039856791,0.3165671061724424,2024-2025,premier-league
mateus fernandes,5.0105931609869,3.847336508333683,5.0105931609869,34,12.354681935161352,6.976256597787142,2024-2025,premier-league
bilal el khannouss,1.4420042671263218,4.914181550964713,1.4420042671263218,42,7.097214490175247,3.5222754068672657,2024-2025,premier-league
matt o&#039;riley,3.061050277203321,2.4148010704666376,2.299881439656019,21,6.484979265369475,2.8589688697829843,2024-2025,premier-league
ilkay gündogan,3.426698351278901,3.667873060330749,3.426698351278901,42,19.306594289839268,14.603720467537642,2024-2025,premier-league
